ID;nr;date;persTag;sex;fn_role;dead;minor;jungfrau;title;prof;staff;off;place;org-pers;sameAs;Kommentar;;;;;;;;;;
1232;958;1404-03-18;pe__simon_kunigwiser_StB_II_958;m;weisend;;;;;;;;;;;;;;;;;;;;;
1233;958;1404-03-18;pe__elisabeth_kechkin_StB_II_958;f;weisend;;;;;;;;;;;;;;;;;;;;;
1234;958;1404-03-18;pe__wolfhard_kechk_StB_II_958;m;weisend/other;;;;;;;;;;;;;;;;;;;;;
1235;958;1404-03-18;pe__otto_kunigwiser_StB_II_958;m;gewiesen;dead;;;;;;;;;;;;;;;;;;;;
1236;958;1404-03-18;pe__kunigunde_gruenin_StB_II_958;f;witness;;;;;;;;;;;;;;;;;;;;;
1237;958;1404-03-18;pe__jakob_gruen_StB_I_543;m;witness;;;;;;;;;;;QGW Uhlirz 521;;;;;;;;;;
1238;965;1404-04-05;pe__simon_kunigwiser_StB_II_958;m;weisend;;;;;;;;;;;;;;;;;;;;;
1239;965;1404-04-05;pe__elisabeth_kechkin_StB_II_958;f;weisend;;;;;;;;;;;;;;;;;;;;;
1240;965;1404-04-05;pe__wolfhard_kechk_StB_II_958;m;weisend/other;;;;;;;;;;;;;;;;;;;;;
1241;965;1404-04-05;pe__otto_kunigwiser_StB_II_958;m;gewiesen;;;;;;;;;;;;;;;;;;;;;
1242;965;1404-04-05;pe__kunigunde_gruenin_StB_II_958;f;other;;;;;;;;;;;;;;;;;;;;;
1243;966;1404-04-22;pe__johann_pawr_StB_II_966;m;weisend;;;;;;;;auf der Widem vor Kernertor ze Wienn;;;;;;;;;;;;;
1244;966;1404-04-22;pe__wolfhard_pheilsniczer_StB_II_966;m;witness;;;;erbere lewte;;;rat_rat-wien_rat-wien-aussen;Wien;;;;;;;;;;;;;
1245;966;1404-04-22;pe__peter_sullengraben_StB_II_966;m;witness;;;;erbere lewte;;;;in der Rosenlukeherr auf der  egenanten Widern;;;;;;;;;;;;;
1246;966;1404-04-22;pe__stephan_oler_StB_II_966;m;gewiesen;dead;;;;;;;an Sand Petersfreithof;;;;;;;;;;;;;
1247;967;1404-04-22;pe__albrecht_hubschly_StB_II_967;m;weisend;;;;;;;;;;;;;;;;;;;;;
1248;967;1404-04-22;pe__konrad_chipffelhausen_StB_II_967;m;witness;;;;erbere lewte;;;;von Rafelspurgkch;;;;;;;;;;;;;
1249;967;1404-04-22;pe__johann_dietrich_StB_II_967;m;witness;;;;erbere lewte;;;;;;;;;;;;;;;;;
1250;967;1404-04-22;pe__vater_von_albrecht_hubschly_StB_II_967;m;gewiesen;;;;;;;;;;;;;;;;;;;;;
1251;967;1404-04-22;pe__ulrich_hubschly_StB_II_967;m;gewiesen;;;;;;;;;;;;;;;;;;;;;
1252;971;1404-05-10;pe__magdalena_pernawerin_StB_II_971;f;weisend;;;;;;;;;;;;;;;;;;;;;
1253;971;1404-05-10;pe__ulrich_pernawer_StB_II_971;m;weisend/other;;;;;;;;;;;;;;;;;;;;;
1254;971;1404-05-10;pe__stephan_gaisrukch_StB_II_971;m;witness;;;;erbere lewte;;;;;;;;;;;;;;;;;
1255;971;1404-05-10;pe__christian_wiener_StB_II_971;m;witness;;;;erbere lewte;;;;von Enczesdorff;;;;;;;;;;;;;
1256;971;1404-05-10;pe__friedrich_smyd_StB_II_971;m;gewiesen;;;;;;;;von Enczesdorff;;;;;;;;;;;;;
1257;971;1404-05-10;pe__anna_kramerin_StB_II_971;f;gewiesen;dead;;;;;;;;;;;;;;;;;;;;
1258;971;1404-05-10;pe__bernhard_kramer_StB_II_971;m;gewiesen/other;dead;;;;;;;;;;;;;;;;;;;;
1259;973;1404-13-05;pe__kunigunde_chewnspiezzin_StB_II_973;f;weisend;;;;fraw;;;;;;;;;;;;;;;;;
1260;973;1404-13-05;pe__heinrich_chewnspiezz_StB_II_973;m;weisend/other;;;;;;;;;;;;;;;;;;;;;
1261;973;1404-13-05;pe__katharina_phanczagelin_StB_II_973;f;weisend;;;;;;;;;;;;;;;;;;;;;
1262;973;1404-13-05;pe__thomas_phanczagl_StB_II_973;m;weisend/other;;;;;;;;;;;;;;;;;;;;;
1263;973;1404-13-05;pe__ulrich_rise_StB_II_973;m;witness;;;;erbere lewte;;;;;;;;;;;;;;;;;
1264;973;1404-13-05;pe__jakob_zwayphunt_StB_II_973;m;witness;;;;erbere lewte;;;;;;;;;;;;;;;;;
1265;973;1404-13-05;pe__johann_costrawn_StB_II_973;m;witness;;;;erbere lewte;;;;;;;;;;;;;;;;;
1266;973;1404-13-05;pe__elisabeth_im_pach_StB_II_973;f;gewiesen;dead;;;fraw;;;;;;;;;;;;;;;;;
1267;973;1404-13-05;pe__johann_im_pach_StB_II_973;m;gewiesen/other;dead;;;;;;;;;;;;;;;;;;;;
1268;974;1404-05-13;pe__heinrich_chewffel_StB_II_974;m;weisend;;;;;;;;;;;;;;;;;;;;;
1269;974;1404-05-13;pe__ludwig_chewffel_StB_II_974;m;weisend;;;;;;;;;;;;;;;;;;;;;
1270;974;1404-05-13;pe__elisabeth_wagenknechtin_StB_II_974;f;weisend;;;;;;;;;;;;;;;;;;;;;
1271;974;1404-05-13;pe__meinhard_wagenknecht_StB_II_974;m;weisend/other;;;;;;;;;;;;;;;;;;;;;
1272;974;1404-05-13;pe__paul_pretschelich_StB_II_974;m;witness;;;;erbere lewte;;;;;;;;;;;;;;;;;
1273;974;1404-05-13;pe__thomas_wenig_StB_II_974;m;witness;;;;erbere lewte;;;;;;;;;;;;;;;;;
1274;974;1404-05-13;pe__seidel_jochl_StB_II_974;m;gewiesen;dead;;;;;;;;;;;;;;;;;;;;
1275;974;1404-05-13;pe__peter_chewffl_StB_II_974;m;gewiesen/other;dead;;;;;;;;;;;;;;;;;;;;
1276;974;1404-05-13;pe__margarethe_chewffel_StB_II_974;f;gewiesen;;minor;;;;;;;;;;;;;;;;;;;
1277;974;1404-05-13;pe__katharina_chewffel_StB_II_974;f;gewiesen;;minor;;;;;;;;;;;;;;;;;;;
1278;974;1404-05-13;pe__gertrud_chewffel_StB_II_974;f;gewiesen;;minor;;;;;;;;;;;;;;;;;;;
1279;979;1404-06-03;pe__margarethe_fleischahcherin_StB_II_979;f;weisend;;;;fraw;;;;;;;;;;;;;;;;;
1280;979;1404-06-03;pe__johann_fleischhakcher_StB_II_979;m;weisend/other;;;;;;;;von Geczendorff,;;;;;;;;;;;;;
1281;979;1404-06-03;pe__katharina_wundeleinin_StB_II_979;f;weisend;;;;fraw;;;;;;;;;;;;;;;;;
1282;979;1404-06-03;pe__wunderlein_StB_II_979;m;weisend/other;;;;;;;;;;;;;;;;;;;;;
1283;979;1404-06-03;pe__ruediger_gulher_StB_II_826;m;witness;;;;erbere lewte;;;;;;;QGW Uhlirz 521;;;;;;;;;;
1284;979;1404-06-03;pe__niklas_chalpfel_StB_II_979;m;witness;;;;erbere lewte;;;;;;;;;;;;;;;;;
1285;979;1404-06-03;pe__johann_trawtmann_StB_I_396;m;gewiesen;dead;;;;;;;;;;;;;;;;;;;;
1286;980;1404-06-07;pe__konrad_grozz_StB_II_980;m;weisend;;;;;;;;;;;rep;;;;;;;;;;
1287;980;1404-06-07;pe__philipp_zawmstrikcher_StB_II_980;m;weisend/rep;;;;;;;;;;;inner lanndes nicht ist;;;;;;;;;;
1288;980;1404-06-07;pe__konrad_gulher_StB_II_980;m;witness;;;;erbere lewte;;;;;;;QGW Uhlirz 2 462;;;;;;;;;;
1289;980;1404-06-07;pe__johann_spiczer_StB_II_980;m;witness;;;;erbere lewte;;;;;;;;;;;;;;;;;
1290;980;1404-06-07;pe__johann_trawtmann_StB_I_396;m;gewiesen;dead;;;;;;;;;;;;;;;;;;;;
1291;982;1404-06-10;pe__margarethe_spiesin_StB_II_982;f;weisend;;;;fraw;;;;;;;;;;;;;;;;;
1292;982;1404-06-10;pe__christian_spies_StB_II_982;m;weisend/other;;;;;;;;;;;;;;;;;;;;;
1293;982;1404-06-10;pe__michael_mertt_StB_II_982;m;witness;;;;erbere lewte;;;;;;;;;;;;;;;;;
1294;982;1404-06-10;pe__bartholomaeus_schelnhamer_StB_II_982;m;witness;;;;erbere lewte;;;;;;;;;;;;;;;;;
1295;982;1404-06-10;pe__anna_smoczin_StB_II_982;f;gewiesen;dead;;;fraw;;;;;;;;;;;;;;;;;
1296;982;1404-06-10;pe__jakob_smocz_StB_II_982;m;gewiesen/other;;;;;;;;;;;;;;;;;;;;;
1297;982;1404-06-10;pe__katharina_erippin_StB_II_982;f;gewiesen;dead;;;fraw;;;;;;;;;;;;;;;;;
1298;982;1404-06-10;pe__philipp_eripp_StB_II_982;m;gewiesen/other;;;;;;;;;;;;;;;;;;;;;
1299;983;1404-06-10;pe__anna_malerin_StB_II_983;f;weisend;;;;fraw;;;;;;;;;;;;;;;;;
1300;983;1404-06-10;pe__johann_maler_StB_II_983;m;weisend/other;dead;;;;;;;von Ofen;;;;;;;;;;;;;
1301;983;1404-06-10;pe__michael_hubschensprung_StB_II_983;m;witness;;;;erbere lewte_purger;;;;wien;;;;;;;;;;;;;
1302;983;1404-06-10;pe__friedrich_goldslacher_StB_II_983;m;witness;;;;erbere lewte_purger;;;;wien;;;;;;;;;;;;;
1303;983;1404-06-10;pe__katharina_haidin_StB_II_983;f;gewiesen;dead;;;;;;;;;;;;;;;;;;;;
1304;983;1404-06-10;pe__johann_haid_StB_II_983;m;gewiesen/other;dead;;;;;;;;;;;;;;;;;;;;
1305;983;1404-06-10;pe__leopold_maler_StB_II_983;m;gewiesen;dead;;;;;;;dacz der Heiligenstat;;;;;;;;;;;;;
1306;986;1404-06-25;pe__anna_pegkchin_StB_II_986;f;weisend;;;;fraw;;;;;;;;;;;;;;;;;
1307;986;1404-06-25;pe__johann_pegkh_StB_II_986;m;weisend/other;;;;;;;;;;;;;;;;;;;;;
1308;986;1404-06-25;pe__heinrich_in_der_pekchenstrazz_alt_StB_II_986;m;witness;;;;erbere lewte;;;;;;;;;;;;;;;;;
1309;986;1404-06-25;pe__ulrich_kolhaimer_StB_II_986;m;witness;;;;erbere lewte;schustern;;;;;;;;;;;;;;;;
1310;986;1404-06-25;pe__katharina_swanserin_StB_II_986;f;gewiesen;dead;;;fraw;;;;;;;;;;;;;;;;;
1311;986;1404-06-25;pe__friedrich_swanser_StB_II_986;m;gewiesen/other;;;;;;;;;;;;;;;;;;;;;
1312;988;1404-07-01;pe__klara_tymin_StB_II_988;f;weisend;;;;fraw;;;;;;;;;;;;;;;;;
1313;988;1404-07-01;pe__philipp_tym_StB_II_988;m;weisend/other;;;;;;;;;;;;;;;;;;;;;
1314;988;1404-07-01;pe__michael_herwart_StB_II_988;m;witness;;;;erbere lewte;;;;;;;;;;;;;;;;;
1315;988;1404-07-01;pe__christian_schorndl_StB_II_988;m;witness;;;;erbere lewte;;;;;;;;;;;;;;;;;
1316;988;1404-07-01;pe__johann_tewfel_StB_I_488;m;witness;;;;erbere lewte;;;;;;;;;;;;;;;;;
1317;988;1404-07-01;pe__margarethe_gallnhoferin_StB_II_988;f;gewiesen;dead;;;fraw;;;;;;;;;;;;;;;;;
1318;988;1404-07-01;pe__matthias_gallnhofer_StB_II_988;m;gewiesen/other;dead;;;;;;;;;;;;;;;;;;;;
1319;988;1404-07-01;pe__martin_schachinnhauffen_StB_II_988;m;gewiesen;;;;;;;;;;;inner lanndes nicht ist;;;;;;;;;;
1320;992;1404-07-10;pe__niklas_wenig_StB_II_992;m;weisend;;;;;;;;;;;;;;;;;;;;;
1321;992;1404-07-10;pe__thomas_wenig_StB_II_974;m;weisend;;;;;;;;;;;;;;;;;;;;;
1322;992;1404-07-10;pe__markhard_chugler_StB_I_284;m;witness;;;;erbere lewte;;;;;;;;;;;;;;;;;
1323;992;1404-07-10;pe__johann_ekchart_StB_II_992;m;witness;;;;erbere lewte;;;;;;;;;;;;;;;;;
1324;992;1404-07-10;pe__stephan_sclachinhaufen_StB_II_992;m;gewiesen;;;;;;;;;;;;;;;;;;;;;
1325;992;1404-07-10;pe__margarethe_wenigerin_StB_II_992;f;gewiesen;dead;;;fraw;;;;;;;;;;;;;;;;;
1326;992;1404-07-10;pe__leopold_wenig_StB_II_992;m;gewiesen/other;dead;;;;;;;;;;;;;;;;;;;;
1327;995;1404-07-24;pe__dorothea_fleischakcherin_StB_II_995;f;weisend;;;;fraw;;;;;;;;;;;;;;;;;
1328;995;1404-07-24;pe__wenzel_fleischakcher_StB_II_995;m;weisend/other;;;;;;;;;;;;;;;;;;;;;
1329;995;1404-07-24;pe__niklas_pawr_StB_II_995;m;witness;;;;erbere lewte;;;;;;;;;;;;;;;;;
1330;995;1404-07-24;pe__georg_poler_StB_II_995;m;witness;;;;erbere lewte;;;;;;;;;;;;;;;;;
1331;995;1404-07-24;pe__anna_hasenpalgin_StB_II_995;f;gewiesen;dead;;;fraw;;;;;;;;;;;;;;;;;
1332;995;1404-07-24;pe__johann_hasenpalg_StB_II_995;m;gewiesen/other;;;;;;;;;;;;;;;;;;;;;
1333;996;1404-07-29;pe__katharina_trenkcherinn_StB_II_996;f;weisend;;;;fraw;;;;von Alzz;;;;;;;;;;;;;
1334;996;1404-07-29;pe__elisabeth_partin_StB_II_996;f;weisend;;;;fraw;;;;;;;;;;;;;;;;;
1335;996;1404-07-29;pe__niklas_part_StB_II_996;m;weisend/other;dead;;;;;;;;;;;;;;;;;;;;
1336;996;1404-07-29;pe__martin_pergmaister_StB_II_996;m;witness;;;;erbere lewte;;;;ze Alzz;;;;;;;;;;;;;
1337;996;1404-07-29;pe__jakob_zechmaister_StB_II_996;m;witness;;;;erbere lewte;;;;ze Alzz;;;;;;;;;;;;;
1338;996;1404-07-29;pe__johann_payr_StB_II_996;m;witness;;;;erbere lewte;;;;ze Alzz;;;;;;;;;;;;;
1339;996;1404-07-29;pe__andreas_cholb_StB_II_996;m;gewiesen;dead;;;;;;;ze Alzz;;;;;;;;;;;;;
1340;1009;1404-09-13;pe__leonhard_hofer_StB_II_1009;m;weisend;;;;;;;;;;;;;;;;;;;;;
1341;1009;1404-09-13;pe__peter_tuchscherer_StB_II_1009;m;witness;;;;;;;;;;;;;;;;;;;;;
1342;1009;1404-09-13;pe__ulrich_winkchel_StB_II_1009;m;witness;;;;;;;;;;;;;;;;;;;;;
1343;1009;1404-09-13;pe__johann_helmel_StB_II_1009;m;gewiesen;;;;;;;;;;;;;;;;;;;;;
1344;1014;1404-09-18;pe__peter_pachawser_StB_II_1014;m;weisend;;;;;;;;;;;;;;;;;;;;;
1345;1014;1404-09-18;pe__simon_glaser_StB_II_1014;m;witness;;;;;;;;;;;;;;;;;;;;;
1346;1014;1404-09-18;pe__niklas_peler_StB_II_1014;m;witness;;;;;;;;;;;;;;;;;;;;;
1347;1014;1404-09-18;pe__bernhard_kramer_StB_II_971;m;gewiesen;dead;;;;;;;;;;;;;;;;;;;;
1348;1019;1404-09-24;pe__margarethe_mitysin_StB_II_1019;f;weisend;;;;;;;;;;;;;;;;;;;;;
1349;1019;1404-09-24;pe__dietrich_mitys_StB_II_1019;m;weisend/other;dead;;;;;;;;;;;;;;;;;;;;
1350;1019;1404-09-24;pe__friedrich_achspach_StB_II_1019;m;witness;;;;erbere lewte;;;urteilschreiber_urteilschreiber-wien;;;;;;;;;;;;;;
1351;1019;1404-09-24;pe__heinrich_schrannschreiber_StB_II_1019;m;witness;;;;erbere lewte;;;schrannschreiber;wien;ze Wienn;;;;;;;;;;;;
1352;1019;1404-09-24;pe__anna_mitysin_StB_II_1019;f;gewiesen;;;;;;;;;;;;;;;;;;;;;
1353;1019;1404-09-24;pe__klara_mitysin_StB_II_1019;f;gewiesen;;;;;;;;;;;;;;;;;;;;;
1354;1019;1404-09-24;pe__friedrich_pigkcher_StB_II_1019;m;gewiesen;;;;;;;schreiber;an Unser Frawn styg;;;;;;;;;;;;;
1355;1027;1404-11-06;pe__anna_ragczin_StB_II_1027;f;weisend;;;;fraw;;;;;;;;;;;;;;;;;
1356;1027;1404-11-06;pe__johann_ragcz_StB_II_1027;m;weisend/other;;;;;;;;;;;;;;;;;;;;;
1357;1027;1404-11-06;pe__franz_verber_StB_II_1027;m;witness;;;;erbere lewte;;;;;;;;;;;;;;;;;
1358;1027;1404-11-06;pe__simon_goldner_StB_II_1027;m;witness;;;;erbere lewte;;;;;;;;;;;;;;;;;
1359;1027;1404-11-06;pe__johann_ziphff_StB_II_1027;m;witness;;;;erbere lewte;;;;;;;;;;;;;;;;;
1360;1027;1404-11-06;pe__heinrich_staynpekch_StB_II_1027;m;gewiesen;;;;;;;;;;;;;;;;;;;;;
1361;1028;1404-11-06;pe__elisabeth_weinczurlin_StB_II_1028;f;weisend;;;;fraw;;;;;;;;;;;;;;;;;
1362;1028;1404-11-06;pe__karl_weinczurl_StB_II_1028;m;weisend/other;dead;;;;;;;;;;;;;;;;;;;;
1363;1028;1404-11-06;pe__heinrich_unbeschaiden_StB_II_1028;m;witness;;;;erbere lewte;;;;;;;;;;;;;;;;;
1364;1028;1404-11-06;pe__konrad_draschnferd_StB_II_1028;m;witness;;;;erbere lewte;;;;;;;;;;;;;;;;;
1365;1028;1404-11-06;pe__gertrud_StB_II_1028;f;gewiesen;dead;;;;;;;;;;;;;;;;;;;;
1366;1028;1404-11-06;pe__niklas_puscher_StB_II_1028;m;gewiesen;dead;;;;;;;;;;;;;;;;;;;;
1367;1037;1404-12-04;pe__anna_eisengraberin_StB_II_1037;f;weisend;;;;fraw;;;;;;;;;;;;;;;;;
1368;1037;1404-12-04;pe__konrad_eisengraber_StB_II_1037;m;weisend/other;;;;;;;;;;;;;;;;;;;;;
1369;1037;1404-12-04;pe__ruediger_snurer_StB_II_1037;m;witness;;;;erbere lewte;;;;;;;;;;;;;;;;;
1370;1037;1404-12-04;pe__leb_tym_StB_II_1037;m;witness;;;;erbere lewte;;;;;;;;;;;;;;;;;
1371;1037;1404-12-04;pe__engel_kursnerin_StB_II_1037;f;gewiesen;;;;fraw;;;;;;;;;;;;;;;;;
1372;1037;1404-12-04;pe__konrad_kursner_StB_II_1037;m;gewiesen/other;dead;;;;;;;;;;;;;;;;;;;;
1373;1037;1404-12-04;pe__markus_pimyr_StB_II_1037;m;gewiesen;dead;;;;;;;;;;;;;;;;;;;;
1374;1038;1404-12-04;pe__katharina_von_hollabrunn_StB_II_1038;f;weisend;;;;fraw;;;;;;;;;;;;;;;;;
1375;1038;1404-12-04;pe__niklas_von_hollabrunn_StB_II_1038;m;weisend/other;;;;;;;;;;;;;;;;;;;;;
1376;1038;1404-12-04;pe__heinrich_stokerawer_StB_II_1038;m;witness;;;;erbere lewte;;;;;;;;;;;;;;;;;
1377;1038;1404-12-04;pe__konrad_hawer_StB_II_1038;m;witness;;;;erbere lewte;;;;;;;;;;;;;;;;;
1378;1038;1404-12-04;pe__peter_im_staynhaws_StB_II_1038;m;gewiesen;;;;;;;;;;;;;;;;;;;;;
1379;1038;1404-12-04;pe__heinrich_im_staynhaws_StB_II_1038;m;gewiesen;dead;;;;;;;;;;;;;;;;;;;;
1380;1038;1404-12-04;pe__siegfried_im_staynhaws_StB_II_1038;m;gewiesen/other;;;;;;;;;;;;;;;;;;;;;
1381;1039;1404-12-04;pe__friedrich_slechtt_ii_StB_II_1039;m;weisend;;;;;;;;;;;;;;;;;;;;;
1382;1039;1404-12-04;pe__konrad_rampperstorffer_StB_II_1039;m;witness;;;;erbere lewte;;;rat_rat-wien;;;;;;;;;;;;;;
1383;1039;1404-12-04;pe__georg_grunpekch_StB_II_1039;m;witness;;;;erbere lewte;;;rat_rat-wien;;;;QGW Uhlirz 521;;;;;;;;;;
1384;1039;1404-12-04;pe__friedrich_slechtt_i_StB_II_1039;m;gewiesen;dead;;;;;;;;;;;;;;;;;;;;
1385;1039;1404-12-04;pe__johann_slechtt_StB_II_1039;m;gewiesen;dead;;;;;;;;;;;;;;;;;;;;
1386;1040;1404-12-09;pe__stephan_underchewffl_StB_II_1040;m;weisend;;;;;;;;von Newnburg Markchthalben;;;;;;;;;;;;;
1387;1040;1404-12-09;pe__georg_pinter_StB_II_1040;m;witness;;;;erbere lewte;;;;;;;;;;;;;;;;;
1388;1040;1404-12-09;pe__johann_syler_StB_II_1040;m;witness;;;;erbere lewte;;;;;;;;;;;;;;;;;
1389;1040;1404-12-09;pe__anna_cheserin_StB_II_1040;f;gewiesen;;;;fraw;;;;;;;;;;;;;;;;;
1390;1040;1404-12-09;pe__heinrich_cheser_StB_II_1040;m;gewiesen/other;;;;;;;;;;;;;;;;;;;;;
1391;1041;1404-12-09;pe__andreas_lanholcz_StB_II_1041;m;weisend;;;;;;;;;;;;;;;;;;;;;
1392;1041;1404-12-09;pe__jakob_wechl_StB_II_1041;m;witness;;;;erbere lewte;;;;;;;;;;;;;;;;;
1393;1041;1404-12-09;pe__jakob_sporl_StB_II_1041;m;witness;;;;erbere lewte;;;;;;;;;;;;;;;;;
1394;1041;1404-12-09;pe__georg_lanholcz_StB_II_1041;m;gewiesen;;;;;;;;;;;;;;;;;;;;;
1395;1041;1404-12-09;pe__stephan_lanholcz_StB_II_1041;m;gewiesen;;;;;;;;;;;;;;;;;;;;;
1396;1041;1404-12-09;pe__anna_im_staynhaws_StB_II_1041;f;gewiesen;;;;;;;;;;;;;;;;;;;;;
1397;1041;1404-12-09;pe__siegfried_im_staynhaws_StB_II_1038;m;gewiesen/other;;;;;;;;;;;;;;;;;;;;;
1398;1041;1404-12-09;pe__elisabeth_schusterin_StB_II_1041;f;gewiesen;;;;;;;;;;;;;;;;;;;;;
1399;1041;1404-12-09;pe__andreas_schuster_StB_II_1041;m;gewiesen/other;;;;;;;;;;;;;;;;;;;;;
1400;1041;1404-12-09;pe__christine_ledrerin_StB_II_1041;f;gewiesen;;;;;;;;;;;;;;;;;;;;;
1401;1041;1404-12-09;pe__martin_ledrer_StB_II_1041;m;gewiesen/other;;;;;;;;;;;;;;;;;;;;;
1402;1043;1404-12-09;pe__katharina_strebmann_StB_II_1043;f;weisend;;;;fraw;;;;;;;;;;;;;;;;;
1403;1043;1404-12-09;pe__johann_strebmann_StB_II_1043;m;weisend/other;;;;;;;;;;;;;;;;;;;;;
1404;1043;1404-12-09;pe__niklas_arrer_StB_II_1043;m;witness;;;;erbere lewte;;;;;;;;;;;;;;;;;
1405;1043;1404-12-09;pe__andreas_hafner_StB_II_1043;m;witness;;;;erbere lewte;;;;;;;;;;;;;;;;;
1406;1043;1404-12-09;pe__elisabeth_stayndlin_StB_II_1043;f;gewiesen;dead;;;fraw;;;;;;;;;;;;;;;;;
1407;1043;1404-12-09;pe__georg_stayndl_StB_II_1043;m;gewiesen/other;;;;;;;;;;;;;;;;;;;;;
1408;1048;1404-12-16;pe__friedrich_schaffer_ii_StB_II_1048;m;weisend;;;;;;;;von Ottakchrinn;;;;;;;;;;;;;
1409;1048;1404-12-16;pe__niklas_fuchsl_StB_II_1048;m;witness;;;;erbere lewte;;;;von Freyndorff;;;;;;;;;;;;;
1410;1048;1404-12-16;pe__niklas_grogkinger_StB_II_1048;m;witness;;;;erbere lewte;;;;von Freyndorff;;;;;;;;;;;;;
1411;1048;1404-12-16;pe__friedrich_schaffer_i_StB_II_1048;m;gewiesen;dead;;;;;;;von Freindorff;;;;;;;;;;;;;
1412;1048;1404-12-16;pe__ulrich_spies_StB_II_1048;m;gewiesen;;;;;;;;ze Wienn;;;;;;;;;;;;;
1413;1052;1404-12-18;pe__stephan_lebendorfer_StB_II_1052;m;weisend;;;;;;;;von Ysper;;;;;;;;;;;;;
1414;1052;1404-12-18;pe__jakob_trebenstein_StB_II_1052;m;witness;;;;erbere lewte;;;;;;;;;;;;;;;;;
1415;1052;1404-12-18;pe__wolfhard_von_der_newnstat_StB_II_1052;m;witness;;;;erbere lewte;;;;;;;;;;;;;;;;;
1416;1052;1404-12-18;pe__dorothea_von_dannstat_StB_II_1052;f;gewiesen;;;;fraw;;;;;;;;;;;;;;;;;
1417;1052;1404-12-18;pe__konrad_von_dannstat_StB_II_1052;m;gewiesen/other;dead;;;maister;pucharzt;;;;;;;;;;;;;;;;
1418;1058;1404-12-23;pe__katharina_mautterin_StB_II_1058;f;weisend;;;;fraw;;;;;;;;;;;;;;;;;
1419;1058;1404-12-23;pe__niklas_mautter_StB_II_1058;m;weisend/other;;;;;;;;;;;;;;;;;;;;;
1420;1058;1404-12-23;pe__leb_schopper_StB_II_1058;m;weisend;;;;;;;;;;;;;;;;;;;;;
1421;1058;1404-12-23;pe__heinrich_schopper_StB_II_1058;m;weisend/other;;;;;;;;;;;;;;;;;;;;;
1422;1058;1404-12-23;pe__markhard_chugler_StB_I_284;m;witness;;;;erbere lewte;;;;;;;;;;;;;;;;;
1423;1058;1404-12-23;pe__leopold_von_alttunaw_StB_II_1058;m;witness;;;;erbere lewte;;;;;;;;;;;;;;;;;
1424;1058;1404-12-23;pe__katharina_cholerinn_StB_II_1058;f;gewiesen;;;;fraw;;;;;;;FRAU OHNE MANN;;;;;;;;;;
1425;1059;1404-12-29;pe__anna_guteysenin_StB_II_1059;f;weisend;;;;fraw;;;;;;;;;;;;;;;;;
1426;1059;1404-12-29;pe__ulrich_guteysen_StB_II_1059;m;weisend/other;;;;;;;;;;;;;;;;;;;;;
1427;1059;1404-12-29;pe__johann_ziechner_StB_II_1059;m;witness;;;;erbere lewte;;;;;;;;;;;;;;;;;
1428;1059;1404-12-29;pe__michael_pawrnfeint_StB_II_1059;m;witness;;;;erbere lewte;;;;;;;;;;;;;;;;;
1429;1059;1404-12-29;pe__johann_pewer_StB_II_1059;m;witness;;;;erbere lewte;;;;;;;;;;;;;;;;;
1430;1059;1404-12-29;pe__andreas_wenig_StB_II_887;m;gewiesen;dead;;;;;;;;;;;;;;;;;;;;
1431;1063;1405-01-14;pe__konrad_von_hainueld_StB_II_1063;m;weisend/other;;;;;;;;;;;;;;;;;;;;;
1432;1063;1405-01-14;pe__konrad_gruber_StB_II_817;m;witness;;;;erbere lewte;;;;;;;;;;;;;;;;;
1433;1063;1405-01-14;pe__niklas_pawr_StB_II_995;m;witness;;;;erbere lewte;;;;;;;;;;;;;;;;;
1434;1063;1405-01-14;pe__ulrich_winkchel_StB_II_1009;m;witness;;;;erbere lewte;;;;;;;;;;;;;;;;;
1435;1063;1405-01-14;pe__konrad_pirprewer_StB_II_1063;m;gewiesen;;;;;;;;;;;;;;;;;;;;;
1436;1063;1405-01-14;pe__dietrich_zymerman_StB_II_1063;m;gewiesen;;;;;;;;von Haynueld;;;;;;;;;;;;;
1437;1070;1405-01-24;pe__margarethe_vindenstaynin_StB_II_1070;f;weisend;;;;fraw;;;;;;;;;;;;;;;;;
1438;1070;1405-01-24;pe__niklas_vindenstayn_StB_II_1070;m;weisend/other;dead;;;;;;;;;;;;;;;;;;;;
1439;1070;1405-01-24;pe__jakob_gunser_StB_I_136;m;witness;;;;erbere lewte;;;;;;;;;;;;;;;;;
1440;1070;1405-01-24;pe__ortolf_tischer_StB_II_1070;m;witness;;;;erbere lewte;;;;;;;;;;;;;;;;;
1441;1070;1405-01-24;pe__kunigunde_pawrin_StB_II_1070;f;gewiesen;dead;;;;;;;;;;;;;;;;;;;;
1442;1070;1405-01-24;pe__leopold_pawr_StB_II_1070;m;gewiesen/other;;;;;;;;;;;;;;;;;;;;;
1443;1070;1405-01-24;pe__elisabeth_sneyderin_StB_II_1070;f;gewiesen;dead;;;;;;;;;;;;;;;;;;;;
1444;1070;1405-01-24;pe__heinrich_sneyder_StB_II_1070;m;gewiesen/other;;;;;;;;von Passaw;;;;;;;;;;;;;
1445;1070;1405-01-24;pe__diemut_schranschreiberin_StB_II_1070;f;gewiesen;dead;;;;;;;;;;;;;;;;;;;;
1446;1070;1405-01-24;pe__friedrich_schranschreiber_StB_II_1070;m;gewiesen/other;;;;;;;;;;;;;;;;;;;;;
